model_id,model_name,original_model_id,fold,test_subject,count_mae,count_mae_pos,count_mae_neg,mean_pred_count_on_neg,mean_gt_count_on_pos,num_test_samples,source_path
S5,BiGRU,A0,3,20794,0.5169657849434282,2.1308971064431326,0.0126122615433165,0.0126122615433165,8.121994781494141,294,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_03_test_20794/test_results.json
S5,BiGRU,A0,4,38936,0.27773340090666665,0.9639331330644324,0.06965994238853454,0.06965994238853454,11.453274179012217,404,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_04_test_38936/test_results.json
S5,BiGRU,A0,5,47779,0.588100765670478,2.2608173461187455,0.07529714583915516,0.07529714583915516,12.405769620622907,358,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_05_test_47779/test_results.json
S5,BiGRU,A0,6,49661,0.6974506568908692,0.39863124101058295,0.7867083952024385,0.7867083952024385,9.380694493003514,400,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_06_test_49661/test_results.json
S5,BiGRU,A0,7,55502,0.5779141756900392,2.2710853152804904,0.021763072151989832,0.021763072151989832,15.24731313917372,364,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_07_test_55502/test_results.json
S5,BiGRU,A0,8,74768,0.7984893758883651,3.0915985053235833,0.11211657939719505,0.11211657939719505,10.36668348312378,382,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_08_test_74768/test_results.json
S5,BiGRU,A0,9,76918,0.6862511506704526,1.415519115536712,0.5028679834471809,0.5028679834471809,12.481145370838254,428,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_09_test_76918/test_results.json
S5,BiGRU,A0,10,84479,0.1820576473119411,0.6577422510493885,0.036709574102941483,0.036709574102941483,10.07782682505521,376,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_10_test_84479/test_results.json
S5,BiGRU,A0,11,86463,1.0664551154668651,3.819454923272133,0.2027689076813997,0.2027689076813997,14.012078046798706,268,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_11_test_86463/test_results.json
S5,BiGRU,A0,12,87369,0.1038605091187472,0.31270537051287567,0.03775134221684161,0.03775134221684161,9.75364654714411,366,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_12_test_87369/test_results.json
S5,BiGRU,A0,13,87447,0.20171851606269156,0.4888832518394957,0.10799113650702769,0.10799113650702769,10.174339375597365,382,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_13_test_87447/test_results.json
S5,BiGRU,A0,14,97706,1.6605684575695676,0.9239280501077342,1.8662537251199995,1.8662537251199995,10.887312950089921,394,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_14_test_97706/test_results.json
S6,TCN,S5,0,14287,0.4137564831001814,1.8043930641440458,0.06609734264743883,0.06609734264743883,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_00_test_14287/test_results.json
S6,TCN,S5,1,14342,0.6726700562697191,1.104321987398209,0.5375062904574655,0.5375062904574655,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_01_test_14342/test_results.json
S6,TCN,S5,2,14547,0.3908989298996048,1.1268545931035823,0.18464383428358727,0.18464383428358727,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_02_test_14547/test_results.json
S6,TCN,S5,3,20794,0.7396728295047267,2.8880605016435896,0.06830171113168555,0.06830171113168555,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_03_test_20794/test_results.json
S6,TCN,S5,4,38936,0.7123876355662204,2.541635259668878,0.1577125351275167,0.1577125351275167,11.453274179012217,404,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_04_test_38936/test_results.json
S6,TCN,S5,5,47779,0.8023313690164235,2.994504701523554,0.130278212568947,0.130278212568947,12.405769620622907,358,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_05_test_47779/test_results.json
S6,TCN,S5,6,49661,0.6881137084960938,0.31922164170638373,0.7983022618603397,0.7983022618603397,9.380694493003514,400,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_06_test_49661/test_results.json
S6,TCN,S5,7,55502,0.47483783249313444,0.7769189834594726,0.37561407893637777,0.37561407893637777,15.24731313917372,364,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_07_test_55502/test_results.json
S6,TCN,S5,8,74768,1.287690020356503,4.857686454599554,0.21911960576667266,0.21911960576667266,10.36668348312378,382,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_08_test_74768/test_results.json
S6,TCN,S5,9,76918,1.1160734312556615,4.042382877926494,0.3802178514023905,0.3802178514023905,12.481145370838254,428,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_09_test_76918/test_results.json
S6,TCN,S5,10,84479,0.259423424588873,0.7647032954476096,0.1050323600647971,0.1050323600647971,10.07782682505521,376,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_10_test_84479/test_results.json
S6,TCN,S5,11,86463,1.187559199866964,3.4935107976198196,0.4641234179337819,0.4641234179337819,14.012078046798706,268,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_11_test_86463/test_results.json
S6,TCN,S5,12,87369,0.6425045396460861,0.3723949139768427,0.7280068397521973,0.7280068397521973,9.75364654714411,366,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_12_test_87369/test_results.json
S6,TCN,S5,13,87447,0.5829600314195243,0.6584365722980905,0.5583253194991913,0.5583253194991913,10.174339375597365,382,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_13_test_87447/test_results.json
S6,TCN,S5,14,97706,1.8595290014586472,1.3067086740981702,2.013887910099773,2.013887910099773,10.887312950089921,394,runs/loso_structure_compare_v2_0p7m_20260520_225426/S5/fold_14_test_97706/test_results.json
S7,TCN-Attn,S6,0,14287,0.18203650809997737,0.9101814114770224,2.84938108690858e-07,2.84938108690858e-07,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_225951/S6/fold_00_test_14287/test_results.json
S7,TCN-Attn,S6,1,14342,0.2896045675644508,0.8595629661313949,0.11113273884384066,0.11113273884384066,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_225951/S6/fold_01_test_14342/test_results.json
S7,TCN-Attn,S6,2,14547,0.2327400146432184,0.7868004928935658,0.07746190964308929,0.07746190964308929,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_225951/S6/fold_02_test_14547/test_results.json
S7,TCN-Attn,S6,3,20794,0.46961850131406,1.9721806253705705,6.782962888025746e-05,6.782962888025746e-05,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_225951/S6/fold_03_test_20794/test_results.json
